date,description,amount,currency,account,cycle,kind,installment
2026-03-04,SUPERMARKET NORTH,84300.00,ARS,Blue Card,2026-03,charge,
2026-03-06,GATEWAY*CORNER SHOP,19250.00,ARS,Blue Card,2026-03,charge,
2026-03-09,ELECTRIC UTILITY,71400.00,ARS,Blue Card,2026-03,charge,
2026-03-11,STREAMING SUBSCRIPTION,9990.00,ARS,Blue Card,2026-03,charge,
2026-03-14,FURNITURE STORE,62000.00,ARS,Blue Card,2026-03,charge,1/6
2026-03-18,BAKERY ON THE SQUARE,6800.00,ARS,Blue Card,2026-03,charge,
2026-03-22,FUEL STATION WEST,55000.00,ARS,Blue Card,2026-03,charge,
2026-03-27,CARD PAYMENT,310000.00,ARS,Blue Card,2026-03,payment,
2026-03-27,INTEREST ON UNPAID BALANCE,13683.50,ARS,Blue Card,2026-03,financing_cost,
2026-04-03,SUPERMARKET NORTH,91100.00,ARS,Blue Card,2026-04,charge,
2026-04-05,GATEWAY*CORNER SHOP,21400.00,ARS,Blue Card,2026-04,charge,
2026-04-08,ELECTRIC UTILITY,78900.00,ARS,Blue Card,2026-04,charge,
2026-04-11,STREAMING SUBSCRIPTION,9990.00,ARS,Blue Card,2026-04,charge,
2026-04-14,FURNITURE STORE,62000.00,ARS,Blue Card,2026-04,charge,2/6
2026-04-16,RESTAURANT BY THE PARK,38500.00,ARS,Blue Card,2026-04,charge,
2026-04-19,ONLINE MARKETPLACE,127000.00,ARS,Blue Card,2026-04,charge,
2026-04-21,PHARMACY CENTRAL,14200.00,ARS,Blue Card,2026-04,charge,
2026-04-24,REFUND FROM MARKETPLACE,18000.00,ARS,Blue Card,2026-04,refund,
2026-04-26,CARD PAYMENT,295000.00,ARS,Blue Card,2026-04,payment,
2026-04-26,INTEREST ON UNPAID BALANCE,17094.86,ARS,Blue Card,2026-04,financing_cost,
2026-05-02,SUPERMARKET NORTH,88700.00,ARS,Blue Card,2026-05,charge,
2026-05-05,GATEWAY*CORNER SHOP,23100.00,ARS,Blue Card,2026-05,charge,
2026-05-07,ELECTRIC UTILITY,83100.00,ARS,Blue Card,2026-05,charge,
2026-05-11,STREAMING SUBSCRIPTION,10990.00,ARS,Blue Card,2026-05,charge,
2026-05-14,FURNITURE STORE,62000.00,ARS,Blue Card,2026-05,charge,3/6
2026-05-17,CLOUD BACKUP,4.99,USD,Blue Card,2026-05,charge,
2026-05-20,WEEKEND MARKET,31500.00,ARS,Blue Card,2026-05,charge,
2026-05-23,CASH WITHDRAWN FOR GROCERIES,120000.00,ARS,Wallet,2026-05,cash,
2026-05-27,CARD PAYMENT,280000.00,ARS,Blue Card,2026-05,payment,
2026-05-27,INTEREST ON UNPAID BALANCE,37269.93,ARS,Blue Card,2026-05,financing_cost,
